No.,DOI
1,10.1002/asi.70056
2,10.1080/1097198X.2026.2646732
3,10.47989/ir30251481
4,10.1145/3726302.3730346
5,10.1016/j.ipm.2024.103890
6,10.1108/IDD-10-2023-0119
7,10.1108/GKMC-11-2023-0415
8,10.1108/LHT-07-2023-0309
9,10.1177/07334648231163430
10,10.1145/3544548.3580898
11,10.7896/j.2392
12,10.47989/irisic2207
13,10.47989/irisic2239
14,10.47989/irisic2225
15,10.3389/feduc.2022.976346
16,10.1111/radm.12534
17,10.1353/lib.2022.0012
18,10.1007/s12144-021-02471-3
19,10.1002/asi.24557
20,10.1177/0165551521990612
21,10.1177/0961000620981611
22,10.1016/j.ijhcs.2020.102537
23,10.1086/711636
24,10.1109/ACCESS.2021.3086767
25,10.47989/irisic2001
26,10.1080/10494820.2020.1817759
27,10.1016/j.acalib.2020.102160
28,10.1080/10584609.2020.1763531
29,10.1016/j.ijhcs.2019.102386
30,10.1177/0961000620909153
31,10.1002/asi.24233
32,10.1145/3343413.3377953
33,10.1002/asi.24222
34,10.1145/3343413.3377970
35,10.1145/3343413.3377952
36,10.1007/978-3-030-32637-1_6
37,10.1002/asi.24174
38,10.24146/tk.573756
39,10.1108/ILS-06-2018-0049
40,10.14429/djlit.38.4.12819
41,10.5455/jrmds.2018635
42,10.1080/20476965.2017.1390050
43,10.1108/AJIM-01-2018-0018
44,10.1016/j.chb.2017.04.014
45,10.1007/s10742-016-0148-6
46,10.1108/LR-09-2016-0079
47,10.1108/LR-02-2017-0011
48,10.1108/JD-06-2016-0080
49,10.1002/asi.23560
50,10.1080/10410236.2015.1012633
51,10.1002/asi.23484
52,10.1016/j.compedu.2016.02.011
53,10.1016/j.jbi.2016.03.004
54,10.1109/LaTiCE.2016.12
55,10.22452/mjlis.vol21no3.3
56,10.1108/JD-10-2015-0133
57,10.1108/JDOC-09-2015-0114
58,10.1002/asi.23300
59,10.4018/JGIM.2015100101
60,10.1016/j.compedu.2015.07.015
61,10.1002/asi.23230
62,10.1002/asi.23204
63,10.1016/j.lisr.2015.02.008
64,10.1063/1.4907816
65,10.1007/978-3-319-24592-8_13
66,10.1108/JD-10-2013-0134
67,10.1002/asi.23128
68,10.1002/asi.22999
69,10.1016/j.lindif.2013.11.006
70,10.1016/j.sbspro.2014.07.088
71,10.1108/JD-02-2014-0035
72,10.1108/JD-05-2013-0060
73,10.1108/JD-03-2014-0045
74,10.1108/AJIM-02-2013-0019
75,10.4018/ijep.2014010103
76,10.1080/19331681.2014.899176
77,10.1108/JD-08-2013-0111
78,10.1016/j.ipm.2013.06.002
79,10.1002/asi.22904
80,10.1002/asi.22839
81,10.1586/ERN.12.162
82,10.1108/NLW-07-2013-0060
83,10.1111/jcc4.12006
84,10.1007/s13164-012-0109-0
85,10.1002/asi.22610
